guide_id,role,department,seniority,job_family,task_id,task_order,phase,category,task_name,task_description,action_required_by,task_owner,due_offset_days,required,expected_evidence,approved_next_step,next_step_owner,reminder_template,escalation_rule,source_type,source_reference,ml_training_text
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G001,Software Engineer. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G001,Software Engineer. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G001,Software Engineer. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G001,Software Engineer. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G001,Software Engineer. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G001,Software Engineer. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G001,Software Engineer. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G001,Software Engineer. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G001,"Software Engineer. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G001,Software Engineer. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
