employee_id,guide_id,task_id,role,department,task_order,phase,category,task_name,task_description,task_owner,action_required_by,required,status,joining_date,due_date,is_overdue,evidence,issue_text,ml_target_category,ml_match_score,confidence_band,approved_next_step,next_step_owner,employee_action,reminder_template,escalation_rule,reviewer_action,review_timestamp,source_type,source_reference,ml_text
EMP-001,G003,G003-T01,Frontend Developer,Engineering,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,HR,Employee,True,Completed,2026-09-04,2026-09-04,False,Identity documents submitted,Submit identity verification documents is completed.,Identity & Compliance,0.94,High / Usable,No action required; task is complete.,HR,No employee action,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,None,2026-09-12T20:00:00,Synthetic onboarding guide,G003,Submit identity verification documents is completed. Upload the required identity documents for employment verification.
EMP-001,G003,G003-T02,Frontend Developer,Engineering,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,HR,Employee,True,Pending,2026-09-04,2026-09-04,True,,Onboarding item 'Review and sign employment agreement' is currently pending.,Employment,0.93,High / Usable,Complete and sign the employment agreement,HR,Take action,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,None,2026-09-13T03:04:00,Synthetic onboarding guide,G003,Onboarding item 'Review and sign employment agreement' is currently pending. Review the employment agreement and electronically sign it before the joining date.
EMP-001,G003,G003-T03,Frontend Developer,Engineering,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Finance/HR,Employee,True,Completed,2026-09-04,2026-09-05,False,Payroll information submitted,Submit payroll and bank information needs attention; current status is completed.,Payroll,0.93,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,None,2026-09-15T17:23:00,Synthetic onboarding guide,G003,Submit payroll and bank information needs attention; current status is completed. Provide the approved payroll information required to process salary payments.
EMP-001,G003,G003-T04,Frontend Developer,Engineering,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,HR,Employee,True,Pending,2026-09-04,2026-09-05,True,,Employee has incomplete status for complete employee information form.,HR Forms,0.85,High / Usable,Complete the employee information form,Employee,Take action,Please complete your employee information form.,Escalate to HR if incomplete.,None,2026-09-13T17:31:00,Synthetic onboarding guide,G003,Employee has incomplete status for complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.
EMP-001,G003,G003-T05,Frontend Developer,Engineering,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,HR,Employee,True,Completed,2026-09-04,2026-09-06,False,Policy acknowledgement,Employee has completed status for acknowledge company policies.,Policy,0.92,High / Usable,No action required; task is complete.,Employee,No employee action,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,None,2026-09-12T20:10:00,Synthetic onboarding guide,G003,Employee has completed status for acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.
EMP-001,G003,G003-T06,Frontend Developer,Engineering,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,True,Pending,2026-09-04,2026-09-05,True,,Create company email account needs attention; current status is pending.,IT Access,0.91,High / Usable,IT should create and activate the company email,IT,No employee action,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,None,2026-09-09T10:06:00,Synthetic onboarding guide,G003,Create company email account needs attention; current status is pending. IT creates the employee's corporate email account and confirms activation.
EMP-001,G003,G003-T07,Frontend Developer,Engineering,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,True,Completed,2026-09-04,2026-09-06,False,Device assignment confirmation,Onboarding item 'Provision laptop/workstation' is currently completed.,IT Equipment,0.87,High / Usable,No action required; task is complete.,IT,No employee action,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,None,2026-09-14T07:23:00,Synthetic onboarding guide,G003,Onboarding item 'Provision laptop/workstation' is currently completed. IT prepares the approved laptop or workstation and records the device assignment.
EMP-001,G003,G003-T08,Frontend Developer,Engineering,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,True,Completed,2026-09-04,2026-09-06,False,Access provisioning record,Onboarding item 'Provision standard system access' is currently completed.,Access Management,0.89,High / Usable,No action required; task is complete.,IT,No employee action,Your standard system access is being prepared.,Escalate to IT if access is overdue.,None,2026-09-14T10:44:00,Synthetic onboarding guide,G003,Onboarding item 'Provision standard system access' is currently completed. IT provisions the standard applications and access required for the employee's role.
EMP-001,G003,G003-T09,Frontend Developer,Engineering,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",HR,Employee,True,Completed,2026-09-04,2026-09-04,False,Orientation attendance,Employee has completed status for attend company orientation.,Orientation,0.9,High / Usable,No action required; task is complete.,Employee,No employee action,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,None,2026-09-11T08:20:00,Synthetic onboarding guide,G003,"Employee has completed status for attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts."
EMP-001,G003,G003-T10,Frontend Developer,Engineering,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Security,Employee,True,Completed,2026-09-04,2026-09-05,False,Training completion record,Complete security awareness training is completed.,Security,0.87,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete the required security training.,Escalate to Security/HR if overdue.,None,2026-09-13T05:31:00,Synthetic onboarding guide,G003,Complete security awareness training is completed. Complete mandatory security and acceptable-use training before full access is granted.
